epoch,lr_g,lr_d,train_G,train_D,train_L1,train_VGG,train_FFT,val_PSNR,val_SSIM,val_L1
1,0.0001,0.0001,4.8767567848672675,0.35963531203415927,1.408335128609015,1.9517499184121891,0.2957932061078597,18.581755779632864,0.5255615711212158,0.09299138775500267
2,0.0001,0.0001,3.560306184145869,0.4336014256185415,0.8931281420649314,1.533057655606951,0.21196850374036905,19.948606690476733,0.6762014627456665,0.07778071660710417
3,0.0001,0.0001,2.9531039267170187,0.4693682887116257,0.7725019686076106,1.2078744720439523,0.18595290275252596,20.355531281412958,0.7308983206748962,0.07650363416937382
4,0.0001,0.0001,2.5648834559382223,0.4702189388323803,0.6873079574837977,0.9603334957239579,0.1668698836346062,23.01572381653093,0.8117086887359619,0.055240303318461643
5,0.0001,0.0001,2.3021805943274987,0.47113362258794356,0.6252939445631844,0.7862086843471138,0.15054745014224732,23.05919906304951,0.8403691649436951,0.05679506126224347
6,0.0001,0.0001,2.1522278055852775,0.46439257020853003,0.5945167073181697,0.6592694010053363,0.13826665996896978,23.609322314030038,0.8598315119743347,0.053266942501068115
7,0.0001,0.0001,2.0811486341515364,0.4694319884387814,0.594196793376183,0.5701141777087231,0.12914808231348895,24.184474529903394,0.882901668548584,0.050911570615742516
8,0.0001,0.0001,2.00141420656321,0.45344053178417437,0.5722079520322838,0.4948500455642233,0.12043377376940785,24.48634411741337,0.8884304165840149,0.04830957025937412
9,0.0001,0.0001,1.9319076270473248,0.4594889423068689,0.5500556510321948,0.44597507131342984,0.11375157550281408,24.27669420957384,0.8968774676322937,0.052254914994473045
10,0.0001,0.0001,1.8824722645234089,0.4514243657491645,0.5347706724186333,0.4015043098099378,0.10818050102311738,25.416059797016235,0.9077520966529846,0.04482303857398422
11,0.0001,0.0001,1.870230526340251,0.44599672726222445,0.5284647777372476,0.37216767912008325,0.10285041009893223,25.643533530617347,0.9142438769340515,0.04370790859684348
12,0.0001,0.0001,1.8481374565435915,0.44116537181698545,0.5089418042679222,0.3542257754170165,0.1003057451880708,25.55669654298156,0.9186205863952637,0.044635436517874834
13,0.0001,0.0001,1.855429201709981,0.4468566629351402,0.5293818687906071,0.33782486830438885,0.09760292634672048,25.58701207562284,0.9220424294471741,0.0448816858191529
14,0.0001,0.0001,1.8269552357342778,0.43957971918339633,0.5068599332352074,0.3216178231701559,0.0940606695960979,24.968796837066833,0.9161481261253357,0.047751856522391674
15,0.0001,0.0001,1.796128246248985,0.434694413627897,0.5004557961103867,0.30523198113149524,0.09119027807396285,25.44757687715228,0.9236466884613037,0.04626532508384274
16,0.0001,0.0001,1.8071929192056462,0.4341264129901419,0.5132694329534259,0.29203366655476237,0.0895412270816005,25.20615913028688,0.9269639849662781,0.0485978648673905
17,0.0001,0.0001,1.814604946545192,0.43125924346398337,0.5197138056463125,0.28822312367205716,0.08866206054784814,26.25174418577582,0.9286414980888367,0.04220520338529478
18,0.0001,0.0001,1.7857899568518814,0.43538445538404036,0.5094521173409053,0.2758985131370778,0.08657204998391015,25.760529019680753,0.9313632249832153,0.04555205725457357
19,0.0001,0.0001,1.7797359325447861,0.42785643862218276,0.49854104798667287,0.2664915177286888,0.08464634372871749,26.04173660665999,0.9308507442474365,0.042172865618182266
20,0.0001,0.0001,1.735479447306419,0.4304394417879533,0.4808353033601021,0.258972702585921,0.08335365826378063,24.45925049231448,0.9173110723495483,0.05408186028185098
21,0.0001,0.0001,1.7208033921767254,0.4255470633506775,0.45961203198043665,0.24425899587115463,0.07955994228927457,25.3719521407675,0.9323469996452332,0.046925567576418754
22,0.0001,0.0001,1.7019909474314476,0.42712631699990256,0.4573489312006503,0.24085887445479023,0.07852058743639868,25.629143226026272,0.9323448538780212,0.04469833976548651
23,0.0001,0.0001,1.6789081388590288,0.42929030802785134,0.4589006347315652,0.2312343196601284,0.07773607931270891,25.960596876784926,0.9377606511116028,0.045994496134960136
24,0.0001,0.0001,1.689933645481966,0.4223384474005018,0.4607855227528786,0.2323719448581034,0.07829751363214181,26.128517617153292,0.9357793927192688,0.04417146550005545
25,0.0001,0.0001,1.6735672026264423,0.41441438149432747,0.43917646091811513,0.22513431553937951,0.07609082819247732,26.258041805223638,0.9356942176818848,0.04158530424794425
26,0.0001,0.0001,1.684814336348553,0.4121125510760716,0.44795727243228833,0.21512073065553391,0.07400212338080212,25.91146589955295,0.9363439083099365,0.044133930183623146
27,0.0001,0.0001,1.6786452069574473,0.41404921850379633,0.4235830939545923,0.21372421602813566,0.07408108759899529,25.325365150631,0.9322434067726135,0.051144945232764534
28,0.0001,0.0001,1.7058188623311568,0.42012984472878123,0.4605937691367402,0.21098136932266,0.07376279887192104,26.31480581420441,0.9313628077507019,0.041632996851821306
29,0.0001,0.0001,1.674746686098527,0.4084698460539993,0.42885260131894326,0.20532520662765114,0.07207138076120494,26.155388050403243,0.9383082389831543,0.04395109542605022
30,0.0001,0.0001,1.6177100040474717,0.4156709027533628,0.4149758158897867,0.1962416819771942,0.06933613919786044,26.32184259642816,0.9387339949607849,0.042338193799166576
31,5e-05,5e-05,1.5911262716565813,0.40584708659016355,0.3990637842489749,0.19579946629855097,0.06838222957995473,25.965069714829863,0.9367913007736206,0.04397593877966637
32,5e-05,5e-05,1.6691671658535392,0.37292536120025477,0.398331593494026,0.19463831764094683,0.06791157503517306,26.39490738024328,0.9414913058280945,0.0433211996746452
33,5e-05,5e-05,1.6796801041583627,0.36944688643727985,0.3997861797712287,0.19653922562696496,0.06806152564834575,26.24652954426674,0.9388595223426819,0.043020591402993254
34,5e-05,5e-05,1.7032758386767641,0.3625839662795164,0.3989877621738278,0.20204616809377865,0.06925799629213858,26.29374732007086,0.9386861324310303,0.041883099095328995
35,5e-05,5e-05,1.7176918350920385,0.35022699285526665,0.3774847266625385,0.197916144923288,0.06788293485130582,25.827339984885647,0.9401159882545471,0.04538689136667096
36,5e-05,5e-05,1.7339338064193726,0.3397595809430492,0.3739984850494229,0.19753697271249732,0.0674361274862776,25.978485442977142,0.9370282888412476,0.04550099105614683
37,5e-05,5e-05,1.7621005262647356,0.33592522539654557,0.38107876935783697,0.19834609664216332,0.06770912170106051,26.513242739367524,0.9409729242324829,0.041207064368316663
38,5e-05,5e-05,1.7414000253288113,0.35349693863975756,0.3920354155861602,0.19500871793347963,0.06634257657795536,26.353936227177407,0.9449164271354675,0.04300332806356575
39,5e-05,5e-05,1.710625417378484,0.35499150169139004,0.3883566406308388,0.19169942335206636,0.06739585466530858,26.793511943661454,0.9421645402908325,0.04039164573845008
40,5e-05,5e-05,1.6887516002265774,0.35712358051416826,0.3795780186750451,0.19126864081742811,0.06582115065990662,27.07105162231529,0.9454635381698608,0.037818719228000744
41,5e-05,5e-05,1.674568594718466,0.35929596424102783,0.372245545898165,0.18760943625654494,0.0660197313646881,26.149210000644857,0.9431236982345581,0.04481093435669723
42,5e-05,5e-05,1.700749786532655,0.34407529782275764,0.3628264838943676,0.18493002257785018,0.06577823463143134,26.81037545908935,0.9473141431808472,0.03960172165914074
